TargetWord,God,Fin,Hyggelig,Glimrende,Positiv,Heldig,Riktig,Dårlig,Ond,Ekkel,Negativ,Uheldig,Galt,Mindreverdig,Completed
opprinnelige,-0.01058,0.02204,0.06106,0.05245,0.34015,-1.12936,0.77005,0.00553,1.00059,-0.59724,0.68886,0.58595,-0.08484,-0.09107,OK
drøy,0.56061,0.80006,0.71605,1.33108,0.00962,0.95698,0.19333,0.26609,-0.93623,0.72649,0.23896,0.58774,1.33671,0.91073,OK
reduserte,0.57267,0.68038,-0.33033,1.58408,0.56086,1.23509,0.16880,0.28349,-0.93477,-1.00902,0.70755,0.94789,-0.45935,0.91219,OK
landsmøtet,0.00007,-1.97732,-0.22134,-1.13041,0.14133,-0.93370,0.84429,-0.09592,0.00000,0.00000,0.38976,0.88270,0.17726,0.00000,OK
lagets,1.19920,0.78189,0.45174,1.82502,0.66971,1.41216,0.39973,0.91329,-1.38089,-0.45514,-0.21635,0.87189,-0.24405,0.00000,OK
utslippene,-0.63357,-2.96489,-1.39393,-2.77694,0.31977,-2.11628,0.45818,-0.02925,0.08505,-1.31114,0.73958,0.27540,-0.71796,0.19504,OK
koblet,-0.31685,-0.24408,-0.04752,0.03134,-0.44145,0.44585,0.54084,-0.13319,-0.93111,-0.00537,-0.22869,0.44602,0.77510,-0.08416,OK
diesel,0.16712,0.61609,-0.45769,0.32707,-0.62514,0.01282,0.08860,0.03701,-3.38082,-0.87010,-0.85015,-0.52564,-1.16255,0.05111,OK
bad,0.31607,0.54144,1.58578,0.36682,-1.06290,0.62006,0.53806,0.65128,2.51455,1.24766,-0.56485,-0.49783,0.16968,0.00000,OK
verdenskrig,-0.72852,-1.02538,-0.52204,0.15386,-1.00688,-0.83756,0.04130,-0.43156,0.19795,-0.25482,0.36002,-0.44087,0.53316,1.92943,OK
fotballmagasinet,-0.12309,-4.60158,-3.47541,-5.63602,-6.35524,-1.80543,2.12494,1.53336,0.00000,0.00000,-5.83833,-5.35627,-7.65029,0.00000,OK
angripe,-0.22411,-0.54586,-1.26868,0.17643,-0.82659,0.15902,0.48074,2.20689,0.58155,1.94340,0.37622,-0.18126,0.14922,-0.07400,OK
roser,0.74176,1.54771,0.96376,0.93337,0.82918,0.15347,0.43187,-0.18386,0.29589,-0.58573,-0.93190,-0.05296,-0.18315,-0.07956,OK
opec,-1.26680,-0.15203,-1.87671,-2.71540,1.21501,-0.91723,-0.69227,-1.43809,0.00000,-1.98657,0.86890,-2.58766,-2.14471,0.00000,OK
operert,-0.19142,0.48266,-0.78022,-1.27426,-0.39654,1.64192,-0.40414,-0.01476,-1.47117,1.54205,-1.09805,1.25343,0.84077,0.00000,OK
samtale,0.61919,0.32554,2.17604,-0.81531,1.04615,-0.43844,0.78674,0.16119,0.67229,0.88754,0.03302,0.71238,0.70293,0.93428,OK
ødegaard,9.67832,9.78962,8.67114,10.14057,9.79417,10.48162,9.31780,9.42986,8.56515,9.49090,9.04519,9.71988,8.88530,0.00000,OK
jim,0.29288,0.39944,0.16172,0.86360,-0.09589,0.29365,-0.22827,-0.36234,1.81459,1.03989,-0.47622,0.22307,0.19080,0.00000,OK
roald,0.28835,0.13841,0.26139,-0.45926,0.86718,-0.50161,0.55217,-0.22689,-1.46353,-1.53778,-1.03596,0.99500,-0.10296,0.00000,OK
søte,0.30060,2.41561,0.51081,-0.46175,-0.00216,-0.68561,0.05873,-1.03243,-0.04723,0.58903,-3.24901,-1.95961,0.73777,0.00000,OK
ekspertene,-0.09161,-1.00668,-0.37738,-0.52922,1.01096,-0.70350,0.66803,0.42342,-0.27868,-1.52285,1.11891,-0.04594,0.66479,0.00000,OK
kvitt,0.17521,-0.08654,0.35289,0.22244,0.27459,0.29191,0.39663,0.21116,0.88179,0.73715,0.37160,0.39909,0.70774,0.00000,OK
mobbing,0.65207,-1.49440,-0.63616,-2.43421,1.84658,-1.08549,-0.08814,1.33639,1.76882,1.44664,2.18226,0.58252,0.45842,0.95281,OK
nyhetsbyrå,0.62206,0.23340,0.94261,-0.77958,0.79805,-0.04616,0.39181,0.50929,0.00000,-0.58679,0.55247,1.18136,0.54294,0.00000,OK
overlevde,-0.88424,-0.91327,-0.96063,-2.63221,-2.06602,2.36386,-0.98532,-0.03297,-0.69984,-0.25952,-2.83451,-0.89303,0.55810,0.00000,OK
club,0.21259,0.59570,0.52322,0.89866,-0.54927,-0.10227,-0.21291,-0.48000,-3.41928,0.00000,-0.61731,-0.40656,-0.54734,0.00000,OK
profilen,-0.50037,-0.45020,-0.26274,-0.94578,1.23314,-0.18995,-0.45417,-0.77099,-2.28019,-2.35444,-0.60751,-0.45303,-1.37508,0.00000,OK
center,-0.46622,1.77701,-0.79931,-2.00723,-0.46592,-0.31682,-0.27000,-0.06556,-0.14525,-1.54143,0.01286,-0.47956,-0.56207,0.00000,OK
halvtime,0.55463,1.11631,0.78178,1.73198,-0.48320,1.65568,0.00517,0.55133,-1.50934,-0.26166,-0.97867,1.09662,0.26428,-0.07742,OK
oppfølging,1.22222,-0.25121,-0.04789,-1.04309,1.06213,0.44202,0.98157,1.50359,1.40387,-1.57728,0.73951,1.09465,0.76708,1.51386,OK
samtalene,-0.14285,-0.89709,-0.14799,-1.44611,1.23461,-2.25493,0.40199,-0.75450,-0.32110,0.00000,-0.14592,-0.12684,-0.17910,0.00000,OK
lands,-0.00368,-0.43957,0.34846,-0.32378,0.56643,-0.01778,0.62758,0.13319,0.51585,0.00000,0.88897,0.11352,0.46402,2.26969,OK
konflikter,-0.23144,-1.69729,-0.14227,-0.23250,1.01352,-0.32030,0.66476,0.48524,1.54460,-1.57406,1.29183,1.13067,0.84876,0.93212,OK
mottar,-0.11242,-1.03369,0.02306,-0.63582,0.76909,-0.02096,0.62519,0.33066,0.18964,0.73688,0.68545,0.71003,0.05036,1.92112,OK
skylder,-0.27485,-1.49850,-0.27023,-0.63248,0.14017,-0.72388,-0.25600,1.24101,0.49255,-1.58171,0.18760,0.33378,0.69756,0.00000,OK
rikeste,0.77314,-1.54553,-0.41687,-0.77262,-0.92355,-0.72201,0.13291,-0.26895,-1.18366,-0.99487,0.61005,-0.76589,-0.05991,0.00000,OK
aktiviteter,0.34436,0.60729,1.21319,-0.11665,1.09856,-0.11494,0.17858,0.09323,0.60399,-2.55773,0.63215,0.60200,-0.24773,0.94845,OK
rakk,0.32179,0.59884,0.78978,0.96604,-0.66660,1.49440,0.07073,0.20909,-0.18694,1.22425,-0.74872,0.57661,0.59503,0.00000,OK
bjarte,0.41830,0.33578,-0.34440,0.56380,-0.67282,0.01192,-0.17179,-0.07631,-3.50102,0.23210,-1.43602,-0.25882,-0.51102,0.00000,OK
siktelsen,-1.73905,-5.03232,-1.49472,-4.58134,-2.17128,-2.22024,-0.10208,-1.30846,-3.45633,-0.94561,-1.19868,0.20621,0.94356,0.00000,OK
sesonger,0.68702,0.80055,0.38219,0.08407,0.26433,0.71672,-0.04504,-0.24693,-1.16943,0.00000,-0.35925,0.10632,-1.01594,0.00000,OK
fattigdom,-0.25465,-1.69958,-1.11599,-1.45718,0.44159,-1.01225,0.14317,0.53480,2.72674,-0.57634,0.38005,-0.46472,0.06599,1.51480,OK
vinduet,-0.22261,-0.05070,0.80743,-1.60870,-1.71321,0.55977,0.15141,-0.19580,-1.48369,2.76400,-1.64108,-0.04355,0.51659,0.94824,OK
forbruk,0.43986,0.48900,0.01703,0.69556,0.77840,-0.97499,0.70678,0.28089,0.85710,-0.21716,2.30589,-0.22264,-0.08056,-0.03292,OK
arna,-0.51551,0.58466,-0.87830,-0.67392,-0.80818,-0.14653,-0.78669,-1.02706,-1.63637,0.00000,-1.64176,-0.31171,-1.73126,0.00000,OK
hjulpet,0.40271,0.08862,0.23074,0.17703,0.52698,0.98454,0.46795,0.26945,0.19513,0.22780,0.41530,0.56829,0.63153,0.92661,OK
håndtere,0.55392,-0.75871,-0.29912,-0.82231,0.49034,-0.32514,0.95135,0.58809,0.66529,0.74304,0.85455,0.91688,1.07718,1.51225,OK
google,-0.28456,-0.82864,-2.14665,-0.33326,-0.75703,-1.07314,-0.02355,-0.54219,1.06930,0.48047,0.62950,-0.26502,-0.74807,0.00000,OK
opsjoner,-1.76261,-3.27813,-1.70960,-4.00772,-1.50454,-3.93201,-0.50522,-0.85835,-3.46766,-1.54191,1.28184,-0.99100,-1.77406,0.00000,OK
forsinkelser,-0.71475,-1.09832,-0.74976,-1.91037,-0.57514,-1.09217,-0.25220,1.22373,-3.48580,-0.97509,0.43482,0.62314,-0.32130,0.00000,OK
håland,0.51741,0.01352,-0.23503,0.57265,0.08439,0.50633,-0.40523,2.16449,-1.15034,4.57243,-1.27603,0.35490,-0.41188,0.00000,OK
gradvis,0.40587,0.19238,-0.46656,0.07327,0.96196,0.67736,0.73369,0.20831,1.49785,-0.25448,0.87097,0.38050,0.28930,1.92977,OK
white,0.57533,2.64653,0.30577,1.23328,-0.58262,0.30899,-0.46153,-0.63086,0.18837,-0.47085,-2.26449,-0.56944,-0.75452,0.03533,OK
utdannelse,0.75289,-0.67455,-0.17843,-0.20976,0.79245,0.96548,0.69923,0.98606,1.69287,-0.55132,0.67136,0.37812,0.55358,2.53982,OK
forum,-0.53496,-0.82307,-0.79644,-1.33557,0.04326,-1.15134,-0.38453,-0.51520,-3.21055,-1.28480,-0.28994,0.33651,-0.46719,0.00000,OK
dratt,0.19367,0.49332,0.46410,-0.19626,-0.33052,1.13618,0.04991,0.33880,0.30985,0.75017,0.46058,0.28659,0.82674,1.51938,OK
terrorister,-1.58852,-2.76894,-2.15734,-1.58099,-1.80836,-1.59840,-0.50442,-0.45090,1.40201,0.00000,-0.16859,-0.30125,0.12585,1.56091,OK
hunder,-0.10166,-0.00579,-0.47511,-1.79185,-0.63192,0.06147,0.39877,0.02200,-0.66683,0.25892,-1.27795,0.05559,0.89433,-0.04227,OK
dyp,0.16566,1.58834,-0.17744,0.26661,-0.50237,-0.22745,0.28651,0.48310,0.20943,0.24209,0.20404,-0.69243,0.94335,2.52587,OK
effekten,0.45900,-0.57745,-0.40756,-0.35814,2.35000,-0.06671,0.90224,0.62118,1.13461,-0.67661,2.85605,1.12729,-0.01373,0.00000,OK
tomt,0.18020,1.14623,0.59783,0.70470,0.03993,0.45500,-0.01326,0.03394,-1.45570,1.47006,-0.05510,0.19090,0.19944,-0.02378,OK
talent,0.81850,0.83220,0.58945,1.24028,-0.50643,1.01851,0.16292,-0.37296,0.63737,0.37048,-0.88260,-1.03798,-0.51324,1.06929,OK
vokst,0.55664,0.69183,0.62536,0.02113,0.48461,1.04917,0.47555,0.07073,0.50229,-0.57197,0.88922,-0.09505,0.22720,3.51918,OK
gata,-0.08045,0.00772,1.12336,-0.41578,-0.53674,0.30379,-0.08185,-0.01552,1.74877,0.63499,-0.06009,-0.72100,0.22658,-0.02877,OK
søknaden,-0.05574,-1.95813,-0.62406,-0.75226,1.64092,-0.67656,0.62570,-0.12221,-2.38213,-0.87142,1.30179,1.40197,-0.29260,0.00000,OK
dører,-0.07396,-0.36568,0.20049,-0.28207,-0.52880,-0.73388,0.07924,0.06015,0.69095,-0.96827,-1.34687,0.13519,0.12321,-0.04706,OK
visse,0.13483,-0.34895,-0.28989,-0.09687,1.00021,-0.31591,0.87118,0.42775,0.89691,0.88977,0.98463,0.99917,0.58931,2.93651,OK
styrken,0.06432,-0.41907,-0.58769,0.66478,0.74871,-0.15999,0.32543,0.03529,0.34501,-1.89917,-0.29426,-0.11560,-0.11872,0.00000,OK
fordelt,0.18626,-0.05289,0.10151,0.08062,0.29032,-0.05227,0.23254,-0.00300,-0.49481,-2.56906,0.65361,-0.25262,-0.31217,0.00000,OK
strøk,0.33014,0.93761,0.46003,0.81157,-0.14713,0.83103,0.28922,0.48241,0.22763,0.45294,-0.12771,0.50210,-0.30832,1.95911,OK
kypros,0.29556,0.12752,0.23662,0.55713,-0.30933,0.15170,-0.54016,0.07247,-1.79899,1.54180,-1.71128,-0.12070,-0.07203,0.00000,OK
unødvendig,0.50402,1.08559,0.17971,0.36410,0.04264,0.57105,1.79186,0.84312,0.51184,1.96115,0.93940,1.81632,0.84828,-0.05626,OK
skatten,-0.22034,-1.71234,-0.76731,-2.77593,-1.03571,-1.11526,0.19374,-0.28292,0.34910,-2.53252,0.79939,1.45803,-0.69066,0.00000,OK
kalde,0.24079,0.92786,0.76894,-0.03169,-0.46550,0.13149,0.51620,0.30630,0.59584,0.75605,0.03904,0.30697,0.50864,1.52526,OK
bransje,0.53040,-0.64893,0.96268,-0.11049,1.21213,0.46273,1.01415,0.68920,0.51204,-1.14718,1.50665,1.38559,0.23074,4.35899,OK
gulvet,0.15563,0.72713,0.80763,-0.85361,-1.57283,0.42722,0.40953,0.21377,0.32388,2.14272,-1.00345,-0.30638,0.98827,0.94845,OK
reiseliv,-1.04625,-2.16694,0.31914,-2.39403,-0.15389,-1.99640,-0.94681,-1.13354,-1.11701,-1.51319,-0.24270,-0.42623,-1.87778,0.00000,OK
medlemskap,-0.44732,-2.01718,-0.70514,-1.50731,0.87782,-0.92064,0.34761,-0.45460,-1.11926,1.22154,0.17792,-0.05763,-0.12926,0.00000,OK
livstruende,-1.66182,-2.38263,-2.37872,-2.80237,-2.04354,0.07332,-0.46902,-1.01492,-0.67735,0.00000,-3.49010,-0.49708,-0.30206,-0.05279,OK
karin,0.11709,0.73580,0.69768,0.14771,0.47032,-0.13614,0.19046,0.14365,0.60030,1.43294,-0.44162,0.00296,0.26192,1.61719,OK
lure,0.49083,0.31257,0.43035,0.73184,-0.25042,0.42769,0.75060,0.51132,1.04057,0.76468,0.25577,0.19530,0.89342,1.94892,OK
bommet,0.88614,0.56404,-0.84200,1.72844,-0.65822,1.57281,2.48551,1.02388,-1.90145,0.02431,-0.45618,1.19972,0.68266,0.00000,OK
zlatan,0.00962,-0.02602,-0.12739,0.01898,-0.05639,0.72404,-0.97157,0.09180,-0.11905,-0.51523,-0.76829,-0.70128,-0.02567,0.00000,OK
btv,-4.19129,-5.34401,-3.73241,0.00000,-3.96839,-3.32548,-5.21700,-4.15067,0.00000,0.00000,-5.77341,-6.29135,-3.67848,0.00000,OK
utlignet,0.83603,1.15688,-0.43084,2.29752,-0.98875,2.46068,-0.06941,0.59824,-3.48437,-0.97366,-1.72422,1.68718,-0.18902,0.00000,OK
klassiske,0.75798,1.44656,0.98998,1.43414,-0.45912,0.50984,0.41061,0.02396,1.26965,1.14095,-0.08465,-0.14069,0.06896,1.94668,OK
barentshavet,-0.22042,-1.00125,0.04267,-3.01842,0.68864,-0.94272,0.03243,0.06710,-0.15644,0.00000,1.05231,0.39062,-0.26892,0.00000,OK
delstaten,-1.50913,-2.38025,-1.76865,-1.90690,-1.41967,-0.77675,-0.82027,-0.58204,-0.16040,-2.55658,-0.56172,-2.15767,-0.13779,-0.05041,OK
fremstår,0.70086,0.85415,1.09153,1.07515,0.86911,0.15784,0.88640,0.57286,1.42056,0.60934,2.12886,1.44319,0.72311,2.53055,OK
gaten,-0.17258,0.31459,1.51115,-0.84143,-0.61723,0.52820,-0.10455,-0.22258,0.28360,0.67883,-0.38662,0.64478,0.42115,1.01507,OK
torsdagens,0.40675,0.67692,0.00918,0.47659,0.80434,0.66450,-0.48067,0.28530,-3.48586,0.60982,-0.11274,0.79816,-0.08599,0.00000,OK
trekk,0.69711,0.72723,0.50994,0.88276,0.66411,0.87841,0.87757,0.87719,1.50254,0.79602,0.63041,0.52325,0.35157,0.98026,OK
spre,-0.26708,-0.82804,-0.12718,-1.21741,-0.03432,-0.66366,0.23304,-0.11366,1.10026,1.14149,0.88842,0.56485,0.06950,-0.05279,OK
godkjente,-0.79712,-1.44958,-0.79068,-1.58356,-0.24750,-1.46346,-0.14199,0.21963,0.12643,0.05218,1.22537,-0.30381,-1.02797,0.97338,OK
rykker,0.15915,-0.46064,0.10247,-0.18033,0.56295,-0.39134,-0.76063,0.66907,-0.67422,-0.23390,0.21348,0.01302,-0.02095,-0.04966,OK
anklaget,-1.38785,-2.79379,-2.01226,-1.90540,-0.45469,-1.13782,-0.52381,-0.17045,-0.15890,-0.23315,0.14606,-0.30372,0.71529,0.00000,OK
familiens,-0.27589,-0.36176,0.28733,-0.56376,-0.55599,0.40886,-0.03641,-0.21123,0.87321,0.79896,-0.66984,-0.55703,0.80241,1.13521,OK
texas,-0.38034,1.39050,-0.02398,-0.31835,-0.84492,-0.61704,-0.54509,-0.97312,-1.00069,-2.39686,-0.09534,-0.84595,-0.20451,0.00000,OK
sint,0.18668,-0.36793,0.93018,-1.13559,-0.24815,0.25548,0.11313,0.79505,1.65929,1.97932,0.35244,0.41266,1.14227,0.00000,OK
berømte,0.10456,0.53777,0.98467,0.52707,-0.66322,0.81334,-0.04648,-0.17429,1.27769,-0.22953,-1.16067,-1.00054,-0.33109,1.95473,OK
kristine,0.47497,0.69224,0.09233,0.63021,-0.30979,0.32934,-0.12081,0.13683,-2.45424,0.27887,-0.82736,-0.62708,-0.22720,0.97769,OK
valgkamp,0.16715,-0.85508,0.07521,-1.03434,-0.34638,-0.57531,0.12534,0.38959,-2.43289,-1.50714,2.14067,0.40836,0.34670,0.00000,OK
landsbyen,-0.94692,-0.79778,-0.18618,-1.65714,-1.42526,0.34458,-0.68010,-0.56532,1.31589,0.00000,-2.95897,-3.47692,-0.78388,0.00000,OK
samler,-0.18833,0.26130,0.44322,-0.78780,-0.16463,-0.37990,0.18858,0.03907,0.11483,-0.95943,-0.24287,-0.67155,-0.07027,-0.03822,OK
